preddate=2011001, pairdateL=2011112, pairdateM=2011112
preddate=2011177, pairdateL=2011208, pairdateM=2011208
preddate=2011178, pairdateL=2011208, pairdateM=2011208
preddate=2011179, pairdateL=2011208, pairdateM=2011208
preddate=2011180, pairdateL=2011208, pairdateM=2011208
preddate=2011181, pairdateL=2011208, pairdateM=2011208
preddate=2011182, pairdateL=2011208, pairdateM=2011208
preddate=2011183, pairdateL=2011208, pairdateM=2011208
preddate=2011184, pairdateL=2011208, pairdateM=2011208
preddate=2011185, pairdateL=2011208, pairdateM=2011208
preddate=2011186, pairdateL=2011208, pairdateM=2011208
preddate=2011187, pairdateL=2011208, pairdateM=2011208
preddate=2011188, pairdateL=2011208, pairdateM=2011208
preddate=2011189, pairdateL=2011208, pairdateM=2011208
preddate=2011190, pairdateL=2011208, pairdateM=2011208
preddate=2011191, pairdateL=2011208, pairdateM=2011208
preddate=2011192, pairdateL=2011208, pairdateM=2011208
preddate=2011193, pairdateL=2011208, pairdateM=2011208
preddate=2011194, pairdateL=2011208, pairdateM=2011208
preddate=2011195, pairdateL=2011208, pairdateM=2011208
preddate=2011196, pairdateL=2011208, pairdateM=2011208
preddate=2011197, pairdateL=2011208, pairdateM=2011208
preddate=2011198, pairdateL=2011208, pairdateM=2011208
preddate=2011199, pairdateL=2011208, pairdateM=2011208
preddate=2011200, pairdateL=2011208, pairdateM=2011208
preddate=2011201, pairdateL=2011208, pairdateM=2011208
preddate=2011202, pairdateL=2011208, pairdateM=2011208
preddate=2011203, pairdateL=2011208, pairdateM=2011208
preddate=2011204, pairdateL=2011208, pairdateM=2011208
preddate=2011205, pairdateL=2011208, pairdateM=2011208
preddate=2011206, pairdateL=2011208, pairdateM=2011208
preddate=2011207, pairdateL=2011208, pairdateM=2011208
preddate=2011208, pairdateL=2011208, pairdateM=2011208
preddate=2011209, pairdateL=2011208, pairdateM=2011208
preddate=2011210, pairdateL=2011208, pairdateM=2011208
preddate=2011211, pairdateL=2011208, pairdateM=2011208
preddate=2011212, pairdateL=2011208, pairdateM=2011208
preddate=2011213, pairdateL=2011208, pairdateM=2011208
preddate=2011214, pairdateL=2011208, pairdateM=2011208
preddate=2011215, pairdateL=2011272, pairdateM=2011272
preddate=2011216, pairdateL=2011272, pairdateM=2011272
preddate=2011217, pairdateL=2011272, pairdateM=2011272
preddate=2011218, pairdateL=2011272, pairdateM=2011272
preddate=2011219, pairdateL=2011272, pairdateM=2011272
preddate=2011220, pairdateL=2011272, pairdateM=2011272
preddate=2011221, pairdateL=2011272, pairdateM=2011272
preddate=2011222, pairdateL=2011272, pairdateM=2011272
preddate=2011223, pairdateL=2011272, pairdateM=2011272
preddate=2011224, pairdateL=2011272, pairdateM=2011272
preddate=2011225, pairdateL=2011272, pairdateM=2011272
preddate=2011226, pairdateL=2011272, pairdateM=2011272
preddate=2011227, pairdateL=2011272, pairdateM=2011272
preddate=2011228, pairdateL=2011272, pairdateM=2011272
preddate=2011229, pairdateL=2011272, pairdateM=2011272
preddate=2011230, pairdateL=2011272, pairdateM=2011272
preddate=2011231, pairdateL=2011272, pairdateM=2011272
preddate=2011232, pairdateL=2011272, pairdateM=2011272
preddate=2011233, pairdateL=2011272, pairdateM=2011272
preddate=2011234, pairdateL=2011272, pairdateM=2011272
preddate=2011235, pairdateL=2011272, pairdateM=2011272
preddate=2011236, pairdateL=2011272, pairdateM=2011272
preddate=2011237, pairdateL=2011272, pairdateM=2011272
preddate=2011238, pairdateL=2011272, pairdateM=2011272
preddate=2011239, pairdateL=2011272, pairdateM=2011272
preddate=2011240, pairdateL=2011272, pairdateM=2011272
preddate=2011241, pairdateL=2011272, pairdateM=2011272
preddate=2011242, pairdateL=2011272, pairdateM=2011272
preddate=2011243, pairdateL=2011272, pairdateM=2011272
preddate=2011244, pairdateL=2011272, pairdateM=2011272
preddate=2011245, pairdateL=2011272, pairdateM=2011272
preddate=2011246, pairdateL=2011272, pairdateM=2011272
preddate=2011247, pairdateL=2011272, pairdateM=2011272
preddate=2011248, pairdateL=2011272, pairdateM=2011272
preddate=2011249, pairdateL=2011272, pairdateM=2011272
preddate=2011250, pairdateL=2011272, pairdateM=2011272
preddate=2011251, pairdateL=2011272, pairdateM=2011272
preddate=2011252, pairdateL=2011272, pairdateM=2011272
preddate=2011253, pairdateL=2011272, pairdateM=2011272
preddate=2011254, pairdateL=2011272, pairdateM=2011272
preddate=2011255, pairdateL=2011272, pairdateM=2011272
preddate=2011256, pairdateL=2011272, pairdateM=2011272
preddate=2011257, pairdateL=2011272, pairdateM=2011272
preddate=2011258, pairdateL=2011272, pairdateM=2011272
preddate=2011259, pairdateL=2011272, pairdateM=2011272
preddate=2011260, pairdateL=2011272, pairdateM=2011272
preddate=2011261, pairdateL=2011272, pairdateM=2011272
preddate=2011262, pairdateL=2011272, pairdateM=2011272
preddate=2011263, pairdateL=2011272, pairdateM=2011272
preddate=2011264, pairdateL=2011272, pairdateM=2011272
preddate=2011265, pairdateL=2011272, pairdateM=2011272
preddate=2011266, pairdateL=2011272, pairdateM=2011272
preddate=2011267, pairdateL=2011272, pairdateM=2011272
preddate=2011268, pairdateL=2011272, pairdateM=2011272
preddate=2011269, pairdateL=2011272, pairdateM=2011272
preddate=2011270, pairdateL=2011272, pairdateM=2011272
preddate=2011271, pairdateL=2011272, pairdateM=2011272
preddate=2011272, pairdateL=2011272, pairdateM=2011272
preddate=2011273, pairdateL=2011272, pairdateM=2011272
preddate=2011274, pairdateL=2011272, pairdateM=2011272
preddate=2011275, pairdateL=2011272, pairdateM=2011272
preddate=2011276, pairdateL=2011272, pairdateM=2011272
preddate=2011277, pairdateL=2011272, pairdateM=2011272
preddate=2011278, pairdateL=2011272, pairdateM=2011272
preddate=2011279, pairdateL=2011272, pairdateM=2011272
preddate=2011280, pairdateL=2011272, pairdateM=2011272
preddate=2011281, pairdateL=2011272, pairdateM=2011272
preddate=2011282, pairdateL=2011272, pairdateM=2011272
preddate=2011283, pairdateL=2011272, pairdateM=2011272
preddate=2011284, pairdateL=2011272, pairdateM=2011272
preddate=2011285, pairdateL=2011272, pairdateM=2011272
preddate=2011286, pairdateL=2011288, pairdateM=2011288
preddate=2011287, pairdateL=2011288, pairdateM=2011288
preddate=2011288, pairdateL=2011288, pairdateM=2011288
preddate=2011289, pairdateL=2011288, pairdateM=2011288
preddate=2011290, pairdateL=2011288, pairdateM=2011288
preddate=2011291, pairdateL=2011288, pairdateM=2011288
preddate=2011292, pairdateL=2011288, pairdateM=2011288
preddate=2011293, pairdateL=2011288, pairdateM=2011288
preddate=2011294, pairdateL=2011288, pairdateM=2011288
preddate=2011295, pairdateL=2011288, pairdateM=2011288
preddate=2011296, pairdateL=2011288, pairdateM=2011288
preddate=2011297, pairdateL=2011288, pairdateM=2011288
preddate=2011298, pairdateL=2011288, pairdateM=2011288
preddate=2011299, pairdateL=2011288, pairdateM=2011288
preddate=2011300, pairdateL=2011288, pairdateM=2011288
preddate=2011301, pairdateL=2011288, pairdateM=2011288
preddate=2011302, pairdateL=2011288, pairdateM=2011288
preddate=2011303, pairdateL=2011288, pairdateM=2011288
preddate=2011304, pairdateL=2011288, pairdateM=2011288
preddate=2011305, pairdateL=2011288, pairdateM=2011288
preddate=2011306, pairdateL=2011288, pairdateM=2011288
preddate=2011307, pairdateL=2011288, pairdateM=2011288
preddate=2011308, pairdateL=2011288, pairdateM=2011288
preddate=2011309, pairdateL=2011288, pairdateM=2011288
preddate=2011310, pairdateL=2011288, pairdateM=2011288
preddate=2011311, pairdateL=2011288, pairdateM=2011288
preddate=2011312, pairdateL=2011288, pairdateM=2011288
preddate=2011313, pairdateL=2011288, pairdateM=2011288
preddate=2011314, pairdateL=2011288, pairdateM=2011288
preddate=2011315, pairdateL=2011288, pairdateM=2011288
preddate=2011316, pairdateL=2011288, pairdateM=2011288
preddate=2011317, pairdateL=2011288, pairdateM=2011288
preddate=2011318, pairdateL=2011288, pairdateM=2011288
preddate=2011319, pairdateL=2011288, pairdateM=2011288
preddate=2011320, pairdateL=2011288, pairdateM=2011288
preddate=2011321, pairdateL=2011288, pairdateM=2011288
preddate=2011322, pairdateL=2011288, pairdateM=2011288
preddate=2011323, pairdateL=2011288, pairdateM=2011288
preddate=2011324, pairdateL=2011288, pairdateM=2011288
preddate=2011325, pairdateL=2011288, pairdateM=2011288
preddate=2011326, pairdateL=2011288, pairdateM=2011288
preddate=2011327, pairdateL=2011288, pairdateM=2011288
preddate=2011328, pairdateL=2011288, pairdateM=2011288
preddate=2011329, pairdateL=2011288, pairdateM=2011288
preddate=2011330, pairdateL=2011288, pairdateM=2011288
preddate=2011331, pairdateL=2011288, pairdateM=2011288
preddate=2011332, pairdateL=2011288, pairdateM=2011288
preddate=2011333, pairdateL=2011288, pairdateM=2011288
preddate=2011334, pairdateL=2011288, pairdateM=2011288
preddate=2011335, pairdateL=2011288, pairdateM=2011288
preddate=2011336, pairdateL=2011288, pairdateM=2011288
preddate=2011337, pairdateL=2011288, pairdateM=2011288
preddate=2011338, pairdateL=2011288, pairdateM=2011288
preddate=2011339, pairdateL=2011288, pairdateM=2011288
preddate=2011340, pairdateL=2011288, pairdateM=2011288
preddate=2011341, pairdateL=2011288, pairdateM=2011288
preddate=2011342, pairdateL=2011288, pairdateM=2011288
preddate=2011343, pairdateL=2011288, pairdateM=2011288
preddate=2011344, pairdateL=2011288, pairdateM=2011288
preddate=2011345, pairdateL=2011288, pairdateM=2011288
preddate=2011346, pairdateL=2011288, pairdateM=2011288
preddate=2011347, pairdateL=2011288, pairdateM=2011288
preddate=2011348, pairdateL=2011288, pairdateM=2011288
preddate=2011349, pairdateL=2011288, pairdateM=2011288
preddate=2011350, pairdateL=2011288, pairdateM=2011288
preddate=2011351, pairdateL=2011288, pairdateM=2011288
preddate=2011352, pairdateL=2011288, pairdateM=2011288
preddate=2011353, pairdateL=2011288, pairdateM=2011288
preddate=2011354, pairdateL=2011288, pairdateM=2011288
preddate=2011355, pairdateL=2011288, pairdateM=2011288
preddate=2011356, pairdateL=2011288, pairdateM=2011288
preddate=2011357, pairdateL=2011288, pairdateM=2011288
preddate=2011358, pairdateL=2011288, pairdateM=2011288
preddate=2011359, pairdateL=2011288, pairdateM=2011288
preddate=2011360, pairdateL=2011288, pairdateM=2011288
preddate=2011361, pairdateL=2011288, pairdateM=2011288
preddate=2011362, pairdateL=2011288, pairdateM=2011288
preddate=2011363, pairdateL=2011288, pairdateM=2011288
preddate=2011364, pairdateL=2011288, pairdateM=2011288
preddate=2011365, pairdateL=2011288, pairdateM=2011288
